2025-07-28 23:34:45 [INFO] - Logger inicializado
2025-07-28 23:34:45 [INFO] - Se encontraron 14 interfaces de red
2025-07-28 23:34:45 [INFO] - Compatibilidad WinPcap OK - La captura de paquetes ICMP debería funcionar
2025-07-28 23:34:46 [INFO] - Tema claro aplicado
2025-07-28 23:34:46 [INFO] - Tema claro aplicado
2025-07-28 23:57:55 [INFO] - Logger inicializado
2025-07-28 23:57:55 [INFO] - Se encontraron 14 interfaces de red
2025-07-28 23:57:55 [INFO] - Compatibilidad WinPcap OK - La captura de paquetes ICMP debería funcionar
2025-07-28 23:57:57 [INFO] - Tema claro aplicado
2025-07-28 23:57:57 [INFO] - Tema claro aplicado
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Conexión de área local* 9 - WAN Miniport (Network Monitor)
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Conexión de área local* 8 - WAN Miniport (IPv6)
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Conexión de área local* 7 - WAN Miniport (IP)
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Conexión de red Bluetooth - Bluetooth Device (Personal Area Network)
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Wi-Fi - Realtek RTL8723DE 802.11b/g/n PCIe Adapter
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: VMware Network Adapter VMnet8 - VMware Virtual Ethernet Adapter for VMnet8
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: VMware Network Adapter VMnet1 - VMware Virtual Ethernet Adapter for VMnet1
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Conexión de área local* 1 - Microsoft Wi-Fi Direct Virtual Adapter
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Ethernet 7 - VirtualBox Host-Only Ethernet Adapter #4
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Ethernet 6 - VirtualBox Host-Only Ethernet Adapter #3
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Ethernet 3 - VirtualBox Host-Only Ethernet Adapter #2
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Ethernet 2 - VirtualBox Host-Only Ethernet Adapter
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Loopback Pseudo-Interface 1 - Software Loopback Interface 1
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Ethernet - Realtek PCIe GbE Family Controller
2025-07-28 23:58:33 [INFO] - Total de interfaces detectadas: 14
2025-07-28 23:58:43 [INFO] - Creando capturer para interfaz: Wi-Fi
2025-07-28 23:58:43 [INFO] - Filtro actual: ''
2025-07-28 23:58:43 [INFO] - Iniciando captura en interfaz: Wi-Fi
2025-07-28 23:58:43 [INFO] - Captura iniciada en interfaz: Wi-Fi
2025-07-28 23:58:43 [INFO] - Filtro aplicado: 
2025-07-28 23:58:43 [INFO] - Usando interfaz: Wi-Fi
2025-07-28 23:58:43 [INFO] - Usando modo de captura WinPcap/Npcap
2025-07-28 23:58:43 [INFO] - Captura iniciada correctamente
2025-07-28 23:58:43 [INFO] - Paquete #1 capturado: Ethernet, ARP - 42 bytes
2025-07-28 23:58:43 [INFO] - Paquete #2 capturado: Ethernet, ARP - 60 bytes
2025-07-28 23:58:43 [INFO] - Paquete #3 capturado: Ethernet, ARP - 60 bytes
2025-07-28 23:58:43 [INFO] - Paquete #4 capturado: Ethernet, ARP - 42 bytes
2025-07-28 23:58:43 [INFO] - Paquete #5 capturado: Ethernet, ARP - 60 bytes
2025-07-28 23:58:44 [INFO] - Paquete #40 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:44 [INFO] - Paquete #41 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:44 [INFO] - Paquete #42 capturado: Ethernet, IP, UDP - 76 bytes
2025-07-28 23:58:44 [INFO] - Paquete #43 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:44 [INFO] - Paquete #44 capturado: Ethernet, IP, UDP - 78 bytes
2025-07-28 23:58:44 [INFO] - Paquete #45 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:44 [INFO] - Paquete #46 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:44 [INFO] - Paquete #47 capturado: Ethernet, IP, UDP - 76 bytes
2025-07-28 23:58:44 [INFO] - Paquete #48 capturado: Ethernet, IP, UDP - 74 bytes
2025-07-28 23:58:44 [INFO] - Paquete #49 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:44 [INFO] - Paquete #50 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:44 [INFO] - Paquete #51 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:44 [INFO] - Paquete #52 capturado: Ethernet, IP, UDP - 76 bytes
2025-07-28 23:58:44 [INFO] - Paquete #53 capturado: Ethernet, IP, UDP - 76 bytes
2025-07-28 23:58:44 [INFO] - Paquete #54 capturado: Ethernet, IP, UDP - 76 bytes
2025-07-28 23:58:44 [INFO] - Paquete #55 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:44 [INFO] - Paquete #56 capturado: Ethernet, IP, UDP - 74 bytes
2025-07-28 23:58:44 [INFO] - Paquete #57 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:44 [INFO] - Paquete #58 capturado: Ethernet, IP, UDP - 76 bytes
2025-07-28 23:58:44 [INFO] - Paquete #59 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:44 [INFO] - Paquete #60 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:44 [INFO] - Paquete #61 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:44 [INFO] - Paquete #62 capturado: Ethernet, IP, UDP - 74 bytes
2025-07-28 23:58:44 [INFO] - Paquete #63 capturado: Ethernet, IP, UDP - 81 bytes
2025-07-28 23:58:44 [INFO] - Paquete #64 capturado: Ethernet, IP, UDP - 76 bytes
2025-07-28 23:58:44 [INFO] - Paquete #65 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:44 [INFO] - Paquete #66 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:44 [INFO] - Paquete #67 capturado: Ethernet, IP, UDP - 74 bytes
2025-07-28 23:58:44 [INFO] - Paquete #68 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:44 [INFO] - Paquete #69 capturado: Ethernet, IP, UDP - 76 bytes
2025-07-28 23:58:44 [INFO] - Paquete #70 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:44 [INFO] - Paquete #71 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:44 [INFO] - Paquete #72 capturado: Ethernet, IP, UDP - 75 bytes
2025-07-28 23:58:44 [INFO] - Paquete #73 capturado: Ethernet, IP, UDP - 76 bytes
2025-07-28 23:58:44 [INFO] - Paquete #74 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:44 [INFO] - Paquete #75 capturado: Ethernet, IP, UDP - 78 bytes
2025-07-28 23:58:45 [INFO] - Paquete #76 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:45 [INFO] - Paquete #77 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:45 [INFO] - Paquete #78 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:45 [INFO] - Paquete #79 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:45 [INFO] - Paquete #80 capturado: Ethernet, IP, UDP - 1292 bytes
